id	taxonID	scientificName	kingdom	phylum	class	order	family
4535632	4535632	Lasiommata megera	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae
1656585	1656585	Lasiopogon cinctus	Animalia	Arthropoda	Insecta	Diptera	Asilidae
5035823	5035823	Lasius brunneus	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae
5035857	5035857	Lasius flavus	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae
5035850	5035850	Lasius fuliginosus	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae
5035788	5035788	Lasius meridionalis	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae
5035862	5035862	Lasius mixtus	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae
5035785	5035785	Lasius niger	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae
5035793	5035793	Lasius platythorax	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae
5035767	5035767	Lasius psammophilus	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae
5035772	5035772	Lasius umbratus	Animalia	Arthropoda	Insecta	Hymenoptera	Formicidae
1769103	1769103	Laspeyria flexula	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae
4534533	4534533	Lateroligia ophiogramma	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
2144779	2144779	Lathys humilis	Animalia	Arthropoda	Arachnida	Araneae	Dictynidae
4451222	4451222	Latridius hirtus	Animalia	Arthropoda	Insecta	Coleoptera	Latridiidae
6097857	6097857	Lebia chlorocephala	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae
6097856	6097856	Lebia cruxminor	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae
6097855	6097855	Lebia cyanocephala	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae
2043501	2043501	Ledra aurita	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae
5758810	5758810	Legnotus limbosus	Animalia	Arthropoda	Insecta	Hemiptera	Cydnidae
5758812	5758812	Legnotus picipes	Animalia	Arthropoda	Insecta	Hemiptera	Cydnidae
4553482	4553482	Leiobunum blackwalli	Animalia	Arthropoda	Arachnida	Opiliones	Sclerosomatidae
4553472	4553472	Leiobunum rotundum	Animalia	Arthropoda	Arachnida	Opiliones	Phalangiidae
1251175	1251175	Leiophron deficiens	Animalia	Arthropoda	Insecta	Hymenoptera	Braconidae
5999219	5999219	Leiopus linnei	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae
5819538	5819538	Leiopus nebulosus	Animalia	Arthropoda	Insecta	Coleoptera	Cerambycidae
4473860	4473860	Leistus ferrugineus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae
4473834	4473834	Leistus fulvibarbis	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae
4473866	4473866	Leistus piceus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae
4473930	4473930	Leistus rufomarginatus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae
4473903	4473903	Leistus spinibarbis	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae
4473874	4473874	Leistus terminatus	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae
5125104	5125104	Lemonia dumi	Animalia	Arthropoda	Insecta	Lepidoptera	Brahmaeidae
4534458	4534458	Lenisa geminipuncta	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
1664505	1664505	Leptarthrus brevirostris	Animalia	Arthropoda	Insecta	Diptera	Asilidae
2136895	2136895	Lepthyphantes leprosus	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae
2136937	2136937	Lepthyphantes minutus	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae
5137903	5137903	Leptidea sinapis	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae
5091025	5091025	Leptogaster cylindrica	Animalia	Arthropoda	Insecta	Diptera	Asilidae
5090866	5090866	Leptogaster guttiventris	Animalia	Arthropoda	Insecta	Diptera	Asilidae
5156102	5156102	Leptoglossus occidentalis	Animalia	Arthropoda	Insecta	Hemiptera	Coreidae
